id,record_id,record_object_id,record_workspace_id,name,value,active_from,active_until,created_at,_fivetran_synced,_fivetran_deleted
rv_016,rec_003,obj_001,ws_001,domains,initech.com,2024-01-12T11:00:00,,2024-01-12T11:00:00,2024-01-12T11:00:00,false
rv_017,rec_003,obj_001,ws_001,employee_range,50-100,2024-01-12T11:00:00,,2024-01-12T11:00:00,2024-01-12T11:00:00,false
rv_018,rec_003,obj_001,ws_001,categories,oao_003,2024-01-12T11:00:00,,2024-01-12T11:00:00,2024-01-12T11:00:00,false
rv_019,rec_003,obj_001,ws_001,owner,wm_001,2024-01-12T11:00:00,,2024-01-12T11:00:00,2024-01-12T11:00:00,false
rv_020,rec_004,obj_002,ws_001,name,Jane Doe,2024-01-13T09:00:00,,2024-01-13T09:00:00,2024-01-13T09:00:00,false
rv_021,rec_004,obj_002,ws_001,email_addresses,jane@acme.com,2024-01-13T09:00:00,,2024-01-13T09:00:00,2024-01-13T09:00:00,false
rv_022,rec_004,obj_002,ws_001,phone_numbers,+14155550001,2024-01-13T09:00:00,,2024-01-13T09:00:00,2024-01-13T09:00:00,false
rv_023,rec_004,obj_002,ws_001,job_title,VP Sales,2024-01-13T09:00:00,,2024-01-13T09:00:00,2024-01-13T09:00:00,false
rv_024,rec_004,obj_002,ws_001,owner,wm_001,2024-01-13T09:00:00,,2024-01-13T09:00:00,2024-01-13T09:00:00,false
rv_025,rec_005,obj_002,ws_001,name,John Smith,2024-01-14T10:00:00,,2024-01-14T10:00:00,2024-01-14T10:00:00,false
rv_026,rec_005,obj_002,ws_001,email_addresses,john@globex.com,2024-01-14T10:00:00,,2024-01-14T10:00:00,2024-01-14T10:00:00,false
rv_027,rec_005,obj_002,ws_001,job_title,CTO,2024-01-14T10:00:00,,2024-01-14T10:00:00,2024-01-14T10:00:00,false
rv_028,rec_005,obj_002,ws_001,linkedin,https://linkedin.com/in/johnsmith,2024-01-14T10:00:00,,2024-01-14T10:00:00,2024-01-14T10:00:00,false
rv_029,rec_005,obj_002,ws_001,owner,wm_002,2024-01-14T10:00:00,,2024-01-14T10:00:00,2024-01-14T10:00:00,false
rv_030,rec_006,obj_002,ws_001,name,Sara Connor,2024-01-15T11:00:00,,2024-01-15T11:00:00,2024-01-15T11:00:00,false
rv_031,rec_006,obj_002,ws_001,email_addresses,sara@initech.com,2024-01-15T11:00:00,,2024-01-15T11:00:00,2024-01-15T11:00:00,false
rv_032,rec_006,obj_002,ws_001,job_title,CEO,2024-01-15T11:00:00,,2024-01-15T11:00:00,2024-01-15T11:00:00,false
rv_033,rec_006,obj_002,ws_001,owner,wm_001,2024-01-15T11:00:00,,2024-01-15T11:00:00,2024-01-15T11:00:00,false
rv_034,rec_007,obj_003,ws_001,name,Acme Enterprise Deal,2024-02-01T09:00:00,,2024-02-01T09:00:00,2024-02-01T09:00:00,false
rv_035,rec_007,obj_003,ws_001,status,oas_001,2024-02-01T09:00:00,,2024-02-01T09:00:00,2024-02-01T09:00:00,false
rv_036,rec_007,obj_003,ws_001,value,75000,2024-02-01T09:00:00,,2024-02-01T09:00:00,2024-02-01T09:00:00,false
rv_037,rec_007,obj_003,ws_001,close_date,2024-06-30,2024-02-01T09:00:00,,2024-02-01T09:00:00,2024-02-01T09:00:00,false
rv_038,rec_007,obj_003,ws_001,owner,wm_001,2024-02-01T09:00:00,,2024-02-01T09:00:00,2024-02-01T09:00:00,false
rv_039,rec_008,obj_003,ws_001,name,Globex Expansion,2024-02-05T10:00:00,,2024-02-05T10:00:00,2024-02-05T10:00:00,false
rv_040,rec_008,obj_003,ws_001,status,oas_002,2024-02-05T10:00:00,,2024-02-05T10:00:00,2024-02-05T10:00:00,false
rv_041,rec_008,obj_003,ws_001,value,150000,2024-02-05T10:00:00,,2024-02-05T10:00:00,2024-02-05T10:00:00,false
rv_042,rec_008,obj_003,ws_001,close_date,2024-03-31,2024-02-05T10:00:00,,2024-02-05T10:00:00,2024-02-05T10:00:00,false
rv_043,rec_008,obj_003,ws_001,owner,wm_002,2024-02-05T10:00:00,,2024-02-05T10:00:00,2024-02-05T10:00:00,false
